he4_theta,p_theta
10.6456,57.0775
10.6587,57.0298
10.6718,56.9822
10.6848,56.9345
10.6979,56.8869
10.7109,56.8393
10.724,56.7917
10.737,56.7441
10.75,56.6965
10.763,56.6489
10.7759,56.6013
10.7889,56.5538
10.8018,56.5062
10.8147,56.4586
10.8276,56.4111
10.8405,56.3636
10.8534,56.3161
10.8663,56.2685
10.8791,56.221
10.8919,56.1735
10.9047,56.126
10.9176,56.0785
10.9303,56.0311
10.9431,55.9836
10.9558,55.9362
10.9686,55.8887
10.9813,55.8413
10.994,55.7938
11.0067,55.7464
11.0194,55.699
11.032,55.6516
11.0447,55.6042
11.0573,55.5568
11.0699,55.5094
11.0825,55.4621
11.0951,55.4147
11.1077,55.3674
11.1202,55.32
11.1327,55.2727
11.1453,55.2254
11.1577,55.178
11.1702,55.1307
11.1827,55.0834
11.1952,55.0361
11.2076,54.9889
11.22,54.9416
11.2324,54.8943
11.2448,54.8471
11.2572,54.7998
11.2695,54.7526
11.2818,54.7053
11.2942,54.6581
11.3065,54.6109
11.3188,54.5637
11.331,54.5165
11.3433,54.4693
11.3555,54.4222
11.3677,54.375
11.3799,54.3278
11.3921,54.2807
11.4043,54.2335
11.4165,54.1864
11.4286,54.1393
11.4407,54.0922
11.4528,54.0451
11.4649,53.998
11.477,53.9509
11.489,53.9038
11.5011,53.8567
11.5131,53.8096
11.5251,53.7626
11.5371,53.7155
11.549,53.6685
11.561,53.6215
11.5729,53.5745
11.5848,53.5275
11.5967,53.4805
11.6086,53.4335
11.6205,53.3865
11.6323,53.3395
11.6441,53.2925
11.656,53.2456
11.6678,53.1986
11.6795,53.1517
11.6913,53.1048
11.703,53.0578
11.7148,53.0109
11.7265,52.964
11.7381,52.9171
11.7498,52.8703
11.7615,52.8234
11.7731,52.7765
11.7847,52.7297
11.7963,52.6828
11.8079,52.636
11.8195,52.5891
11.831,52.5423
11.8425,52.4955
11.854,52.4487
11.8655,52.4019
11.877,52.3551
11.8885,52.3083
11.8999,52.2616
11.9113,52.2148
11.9227,52.168
11.9341,52.1213
11.9455,52.0746
11.9568,52.0278
11.9681,51.9811
11.9794,51.9344
11.9907,51.8877
12.002,51.841
12.0132,51.7943
12.0245,51.7477
12.0357,51.701
12.0469,51.6544
12.0581,51.6077
12.0692,51.5611
12.0804,51.5144
12.0915,51.4678
12.1026,51.4212
12.1137,51.3746
12.1247,51.328
12.1358,51.2814
12.1468,51.2349
12.1578,51.1883
12.1688,51.1418
12.1798,51.0952
12.1907,51.0487
12.2017,51.0021
12.2126,50.9556
12.2235,50.9091
12.2343,50.8626
12.2452,50.8161
12.256,50.7696
12.2668,50.7231
12.2776,50.6767
12.2884,50.6302
12.2992,50.5838
12.3099,50.5373
12.3206,50.4909
12.3313,50.4445
12.342,50.3981
12.3527,50.3517
12.3633,50.3053
12.3739,50.2589
12.3845,50.2125
12.3951,50.1661
12.4056,50.1198
12.4162,50.0734
12.4267,50.0271
12.4372,49.9808
12.4477,49.9345
12.4581,49.8881
12.4686,49.8418
12.479,49.7955
12.4894,49.7493
12.4998,49.703
12.5101,49.6567
12.5205,49.6104
12.5308,49.5642
12.5411,49.5179
12.5513,49.4717
