A_4He,E_4He,A_p,E_p
13.870541,135.73,42.414056,255.32
13.857317,135.939,42.503761,254.49
13.843985,136.148,42.593501,253.66
13.830545,136.357,42.683276,252.83
13.816997,136.566,42.773086,252
13.803342,136.774,42.862932,251.17
13.78958,136.983,42.952812,250.34
13.775712,137.192,43.042729,249.511
13.761737,137.401,43.13268,248.681
13.747657,137.61,43.222667,247.852
13.733472,137.818,43.312689,247.023
13.719182,138.027,43.402746,246.194
13.704787,138.236,43.492839,245.365
13.690287,138.444,43.582968,244.537
13.675684,138.653,43.673131,243.708
13.660978,138.861,43.763331,242.88
13.646168,139.07,43.853565,242.052
13.631255,139.278,43.943835,241.224
13.61624,139.486,44.034141,240.397
13.601123,139.694,44.124482,239.57
13.585904,139.903,44.214859,238.743
13.570584,140.111,44.305271,237.916
13.555163,140.319,44.395719,237.089
13.539641,140.527,44.486203,236.263
13.524019,140.735,44.576722,235.437
13.508297,140.943,44.667277,234.612
13.492475,141.15,44.757867,233.786
13.476554,141.358,44.848493,232.961
13.460534,141.566,44.939155,232.136
13.444416,141.773,45.029852,231.312
13.4282,141.981,45.120585,230.488
13.411885,142.188,45.211354,229.664
13.395474,142.395,45.302159,228.841
13.378965,142.602,45.392999,228.018
13.362359,142.81,45.483875,227.195
13.345657,143.017,45.574787,226.373
13.328859,143.223,45.665735,225.551
13.311965,143.43,45.756718,224.729
13.294976,143.637,45.847737,223.908
13.277892,143.844,45.938792,223.087
13.260713,144.05,46.029883,222.267
13.24344,144.256,46.12101,221.447
13.226073,144.463,46.212172,220.627
13.208612,144.669,46.303371,219.808
13.191058,144.875,46.394605,218.989
13.173411,145.081,46.485875,218.171
13.155671,145.287,46.577181,217.353
13.137839,145.493,46.668523,216.536
13.119915,145.698,46.759901,215.719
13.101899,145.904,46.851315,214.903
13.083792,146.109,46.942764,214.087
13.065594,146.314,47.03425,213.272
13.047305,146.519,47.125771,212.457
13.028926,146.724,47.217329,211.643
13.010458,146.929,47.308922,210.829
12.991899,147.134,47.400551,210.015
12.973251,147.339,47.492216,209.203
12.954515,147.543,47.583917,208.39
12.935689,147.747,47.675654,207.579
12.916776,147.952,47.767428,206.768
12.897774,148.156,47.859237,205.957
12.878685,148.359,47.951081,205.147
12.859508,148.563,48.042962,204.338
12.840245,148.767,48.134879,203.529
12.820894,148.97,48.226832,202.721
12.801458,149.173,48.318821,201.913
12.781935,149.377,48.410846,201.106
12.762327,149.58,48.502907,200.3
12.742633,149.782,48.595003,199.494
12.722855,149.985,48.687136,198.689
12.702991,150.188,48.779305,197.885
12.683043,150.39,48.871509,197.081
12.663011,150.592,48.96375,196.278
12.642895,150.794,49.056026,195.476
12.622696,150.996,49.148339,194.674
12.602414,151.197,49.240687,193.873
12.582048,151.399,49.333072,193.073
12.561601,151.6,49.425492,192.273
12.541071,151.801,49.517949,191.474
12.520459,152.002,49.610441,190.676
12.499765,152.203,49.702969,189.879
12.478991,152.403,49.795533,189.082
12.458135,152.604,49.888133,188.286
12.437199,152.804,49.980769,187.491
12.416182,153.004,50.073441,186.696
12.395085,153.204,50.166149,185.902
12.373909,153.403,50.258893,185.11
12.352653,153.603,50.351673,184.317
12.331318,153.802,50.444488,183.526
12.309904,154.001,50.537339,182.735
12.288412,154.2,50.630227,181.946
12.266842,154.398,50.72315,181.157
12.245193,154.597,50.816109,180.369
12.223467,154.795,50.909104,179.581
12.201664,154.993,51.002134,178.795
12.179784,155.191,51.095201,178.009
12.157827,155.388,51.188303,177.225
12.135794,155.586,51.281441,176.441
12.113684,155.783,51.374615,175.658
12.091499,155.98,51.467825,174.876
12.069238,156.176,51.56107,174.094
12.046902,156.373,51.654351,173.314
12.024491,156.569,51.747668,172.534
12.002006,156.765,51.841021,171.756
11.979446,156.961,51.934409,170.978
11.956812,157.156,52.027833,170.202
11.934105,157.351,52.121293,169.426
11.911324,157.546,52.214788,168.651
11.88847,157.741,52.308319,167.877
11.865543,157.936,52.401886,167.104
11.842543,158.13,52.495488,166.332
11.819471,158.324,52.589126,165.561
11.796327,158.518,52.682799,164.791
11.773112,158.712,52.776508,164.022
11.749824,158.905,52.870253,163.254
