p_theta,he6_theta
34.9022,9.63336
34.9454,9.6337
34.9887,9.63399
35.0319,9.63428
35.0752,9.63452
35.1185,9.63476
35.1618,9.63495
35.205,9.63514
35.2483,9.63528
35.2916,9.63542
35.335,9.63551
35.3783,9.63561
35.4216,9.63565
35.465,9.6357
35.5083,9.63569
35.5517,9.63569
35.5951,9.63564
35.6384,9.63558
35.6818,9.63548
35.7252,9.63538
35.7687,9.63523
35.8121,9.63509
35.8555,9.63489
35.8989,9.63469
35.9424,9.63445
35.9858,9.6342
36.0293,9.63391
36.0728,9.63362
36.1163,9.63328
36.1598,9.63294
36.2033,9.63255
36.2468,9.63216
36.2903,9.63172
36.3338,9.63129
36.3774,9.6308
36.4209,9.63032
36.4645,9.62979
36.5081,9.62926
36.5516,9.62868
36.5952,9.6281
36.6388,9.62747
36.6824,9.62685
36.726,9.62617
36.7697,9.6255
36.8133,9.62478
36.8569,9.62406
36.9006,9.62329
36.9443,9.62253
36.9879,9.62171
37.0316,9.6209
37.0753,9.62004
37.119,9.61918
37.1627,9.61827
37.2064,9.61736
37.2502,9.61641
37.2939,9.61545
37.3377,9.61445
37.3814,9.61345
37.4252,9.6124
37.469,9.61135
37.5128,9.61026
37.5565,9.60917
37.6004,9.60803
37.6442,9.60689
37.688,9.6057
37.7318,9.60451
37.7757,9.60328
37.8195,9.60205
37.8634,9.60077
37.9073,9.59949
37.9512,9.59817
37.995,9.59685
38.0389,9.59548
38.0829,9.59411
38.1268,9.59269
38.1707,9.59127
38.2147,9.58981
38.2586,9.58835
38.3026,9.58684
38.3465,9.58534
38.3905,9.58379
38.4345,9.58223
38.4785,9.58064
38.5225,9.57904
38.5665,9.5774
38.6105,9.57575
38.6546,9.57407
38.6986,9.57238
38.7427,9.57065
38.7868,9.56891
38.8308,9.56713
38.8749,9.56536
38.919,9.56353
38.9631,9.56171
39.0072,9.55984
39.0514,9.55798
39.0955,9.55607
39.1396,9.55415
39.1838,9.5522
39.2279,9.55024
39.2721,9.54824
39.3163,9.54624
39.3605,9.54419
39.4047,9.54215
39.4489,9.54006
39.4931,9.53797
39.5374,9.53584
39.5816,9.5337
39.6259,9.53152
39.6701,9.52935
39.7144,9.52713
39.7587,9.5249
39.803,9.52264
39.8473,9.52037
39.8916,9.51806
39.9359,9.51576
39.9802,9.5134
40.0246,9.51105
40.0689,9.50865
40.1133,9.50626
40.1576,9.50382
40.202,9.50138
40.2464,9.49889
40.2908,9.49641
40.3352,9.49389
40.3796,9.49136
40.4241,9.48879
40.4685,9.48622
40.513,9.48361
40.5574,9.48099
40.6019,9.47834
40.6464,9.47568
40.6909,9.47299
40.7353,9.47029
40.7799,9.46755
40.8244,9.46481
40.8689,9.46202
40.9134,9.45924
40.958,9.45641
41.0025,9.45359
41.0471,9.45072
41.0917,9.44785
41.1363,9.44494
41.1809,9.44203
41.2255,9.43907
41.2701,9.43612
41.3147,9.43313
41.3594,9.43013
41.404,9.42709
41.4487,9.42405
41.4933,9.42098
41.538,9.4179
41.5827,9.41478
41.6274,9.41165
41.6721,9.40849
41.7168,9.40533
41.7616,9.40212
41.8063,9.39892
41.851,9.39567
41.8958,9.39243
41.9406,9.38914
41.9853,9.38585
42.0301,9.38252
42.0749,9.37919
42.1197,9.37582
42.1646,9.37245
42.2094,9.36904
42.2542,9.36563
42.2991,9.36218
42.3439,9.35873
42.3888,9.35523
42.4337,9.35174
42.4786,9.34821
42.5235,9.34467
42.5684,9.3411
42.6133,9.33752
42.6582,9.33391
42.7032,9.33029
42.7481,9.32664
42.7931,9.32298
42.838,9.31929
42.883,9.31559
42.928,9.31185
42.973,9.30812
43.018,9.30434
43.063,9.30056
43.1081,9.29675
43.1531,9.29293
43.1982,9.28907
43.2432,9.28522
43.2883,9.28132
43.3334,9.27742
43.3785,9.27349
43.4236,9.26955
43.4687,9.26557
43.5138,9.2616
43.5589,9.25758
43.6041,9.25357
43.6492,9.24951
43.6944,9.24546
43.7396,9.24136
43.7847,9.23727
43.8299,9.23313
43.8751,9.229
43.9204,9.22483
43.9656,9.22065
44.0108,9.21644
44.056,9.21223
44.1013,9.20798
44.1466,9.20373
44.1918,9.19943
44.2371,9.19514
44.2824,9.19082
44.3277,9.18649
44.373,9.18212
44.4184,9.17775
44.4637,9.17335
44.509,9.16894
44.5544,9.16449
44.5998,9.16005
44.6452,9.15557
44.6905,9.15108
44.7359,9.14656
44.7813,9.14204
44.8268,9.13748
44.8722,9.13292
44.9176,9.12833
44.9631,9.12373
45.0085,9.11909
45.054,9.11446
45.0995,9.10978
45.145,9.10511
45.1905,9.1004
45.236,9.09569
45.2815,9.09094
45.327,9.08619
45.3726,9.0814
45.4181,9.07662
45.4637,9.07179
45.5092,9.06697
45.5548,9.06211
45.6004,9.05725
45.646,9.05235
45.6916,9.04745
45.7373,9.04252
45.7829,9.03758
45.8285,9.03261
45.8742,9.02764
45.9199,9.02263
45.9655,9.01762
46.0112,9.01257
46.0569,9.00752
46.1026,9.00244
46.1483,8.99736
46.1941,8.99224
46.2398,8.98712
46.2855,8.98196
46.3313,8.97681
46.3771,8.97161
46.4228,8.96642
46.4686,8.96119
46.5144,8.95596
46.5602,8.9507
46.6061,8.94543
46.6519,8.94013
46.6977,8.93483
46.7436,8.92949
46.7894,8.92415
46.8353,8.91878
46.8812,8.91341
46.9271,8.908
46.973,8.90259
47.0189,8.89714
47.0648,8.8917
47.1107,8.88622
47.1567,8.88074
47.2026,8.87522
47.2486,8.86971
47.2946,8.86416
47.3406,8.8586
47.3866,8.85302
47.4326,8.84743
47.4786,8.84181
47.5246,8.83619
47.5706,8.83053
47.6167,8.82487
47.6627,8.81918
47.7088,8.81349
47.7549,8.80776
47.801,8.80204
47.8471,8.79627
47.8932,8.79051
47.9393,8.78472
47.9854,8.77892
48.0316,8.77309
48.0777,8.76726
48.1239,8.76139
48.17,8.75553
48.2162,8.74963
48.2624,8.74373
48.3086,8.73779
48.3548,8.73186
48.4011,8.72589
