A_p,CM angle
20.9445,133.11
20.9857,133.02
21.0268,132.93
21.068,132.84
21.1092,132.75
21.1504,132.66
21.1915,132.57
21.2327,132.48
21.2739,132.39
21.3151,132.3
21.3563,132.21
21.3976,132.12
21.4388,132.03
21.48,131.94
21.5212,131.85
21.5625,131.76
21.6037,131.67
21.645,131.58
21.6862,131.49
21.7275,131.4
21.7687,131.31
21.81,131.22
21.8513,131.13
21.8926,131.04
21.9338,130.95
21.9751,130.86
22.0164,130.77
22.0577,130.68
22.099,130.59
22.1404,130.5
22.1817,130.41
22.223,130.32
22.2643,130.23
22.3057,130.14
22.347,130.05
22.3884,129.96
22.4297,129.87
22.4711,129.78
22.5124,129.69
22.5538,129.6
22.5952,129.51
22.6366,129.42
22.678,129.33
22.7194,129.24
22.7608,129.15
22.8022,129.06
22.8436,128.97
22.885,128.88
22.9264,128.79
22.9678,128.7
23.0093,128.61
23.0507,128.52
23.0922,128.43
23.1336,128.34
23.1751,128.25
23.2165,128.16
23.258,128.07
23.2995,127.98
23.341,127.89
23.3825,127.8
23.424,127.71
23.4655,127.62
23.507,127.53
23.5485,127.44
23.59,127.35
23.6315,127.26
23.6731,127.17
23.7146,127.08
23.7561,126.99
23.7977,126.9
23.8392,126.81
23.8808,126.72
23.9224,126.63
23.9639,126.54
24.0055,126.45
24.0471,126.36
24.0887,126.27
24.1303,126.18
24.1719,126.09
24.2135,126
24.2551,125.91
24.2967,125.82
24.3384,125.73
24.38,125.64
24.4216,125.55
24.4633,125.46
24.5049,125.37
24.5466,125.28
24.5883,125.19
24.6299,125.1
24.6716,125.01
24.7133,124.92
24.755,124.83
24.7967,124.74
24.8384,124.65
24.8801,124.56
24.9218,124.47
24.9635,124.38
25.0052,124.29
25.047,124.2
25.0887,124.11
25.1305,124.02
25.1722,123.93
25.214,123.84
25.2557,123.75
25.2975,123.66
25.3393,123.57
25.3811,123.48
25.4229,123.39
25.4647,123.3
25.5065,123.21
25.5483,123.12
25.5901,123.03
25.6319,122.94
25.6737,122.85
25.7156,122.76
25.7574,122.67
25.7993,122.58
25.8411,122.49
25.883,122.4
25.9248,122.31
25.9667,122.22
26.0086,122.13
26.0505,122.04
26.0924,121.95
26.1343,121.86
26.1762,121.77
26.2181,121.68
26.26,121.59
26.3019,121.5
26.3439,121.41
26.3858,121.32
26.4278,121.23
26.4697,121.14
26.5117,121.05
26.5536,120.96
26.5956,120.87
26.6376,120.78
26.6796,120.69
26.7216,120.6
26.7636,120.51
26.8056,120.42
26.8476,120.33
26.8896,120.24
26.9316,120.15
26.9737,120.06
27.0157,119.97
27.0577,119.88
27.0998,119.79
27.1418,119.7
27.1839,119.61
27.226,119.52
27.2681,119.43
27.3102,119.34
27.3522,119.25
27.3943,119.16
27.4365,119.07
27.4786,118.98
27.5207,118.89
27.5628,118.8
27.6049,118.71
27.6471,118.62
27.6892,118.53
27.7314,118.44
27.7735,118.35
27.8157,118.26
27.8579,118.17
27.9001,118.08
27.9423,117.99
27.9844,117.9
28.0266,117.81
28.0689,117.72
28.1111,117.63
28.1533,117.54
28.1955,117.45
28.2378,117.36
28.28,117.27
28.3222,117.18
28.3645,117.09
28.4068,117
28.449,116.91
28.4913,116.82
28.5336,116.73
28.5759,116.64
28.6182,116.55
28.6605,116.46
28.7028,116.37
28.7451,116.28
28.7875,116.19
28.8298,116.1
28.8721,116.01
28.9145,115.92
28.9568,115.83
28.9992,115.74
29.0416,115.65
29.0839,115.56
29.1263,115.47
29.1687,115.38
29.2111,115.29
29.2535,115.2
29.2959,115.11
29.3383,115.02
29.3808,114.93
29.4232,114.84
29.4656,114.75
29.5081,114.66
29.5505,114.57
29.593,114.48
29.6355,114.39
29.6779,114.3
29.7204,114.21
29.7629,114.12
29.8054,114.03
29.8479,113.94
29.8904,113.85
29.9329,113.76
29.9755,113.67
30.018,113.58
30.0606,113.49
30.1031,113.4
30.1457,113.31
30.1882,113.22
30.2308,113.13
30.2734,113.04
30.3159,112.95
30.3585,112.86
30.4011,112.77
30.4437,112.68
30.4864,112.59
30.529,112.5
30.5716,112.41
30.6142,112.32
30.6569,112.23
30.6995,112.14
30.7422,112.05
30.7849,111.96
30.8275,111.87
30.8702,111.78
30.9129,111.69
30.9556,111.6
30.9983,111.51
31.041,111.42
31.0837,111.33
31.1264,111.24
31.1692,111.15
31.2119,111.06
31.2547,110.97
31.2974,110.88
31.3402,110.79
31.3829,110.7
31.4257,110.61
31.4685,110.52
31.5113,110.43
31.5541,110.34
31.5969,110.25
31.6397,110.16
31.6825,110.07
31.7254,109.98
31.7682,109.89
31.811,109.8
31.8539,109.71
31.8968,109.62
31.9396,109.53
31.9825,109.44
32.0254,109.35
32.0683,109.26
32.1112,109.17
32.1541,109.08
32.197,108.99
32.2399,108.9
32.2828,108.81
32.3258,108.72
32.3687,108.63
32.4117,108.54
32.4546,108.45
32.4976,108.36
32.5406,108.27
32.5835,108.18
32.6265,108.09
32.6695,108
32.7125,107.91
32.7555,107.82
32.7986,107.73
32.8416,107.64
32.8846,107.55
32.9277,107.46
32.9707,107.37
33.0138,107.28
33.0568,107.19
33.0999,107.1
33.143,107.01
33.1861,106.92
33.2292,106.83
33.2723,106.74
33.3154,106.65
33.3585,106.56
33.4016,106.47
33.4448,106.38
33.4879,106.29
33.5311,106.2
33.5742,106.11
33.6174,106.02
33.6606,105.93
33.7038,105.84
33.747,105.75
33.7901,105.66
33.8334,105.57
33.8766,105.48
33.9198,105.39
33.963,105.3
34.0063,105.21
34.0495,105.12
34.0928,105.03
34.136,104.94
34.1793,104.85
34.2226,104.76
34.2659,104.67
34.3091,104.58
34.3524,104.49
34.3958,104.4
34.4391,104.31
34.4824,104.22
34.5257,104.13
34.5691,104.04
34.6124,103.95
34.6558,103.86
34.6991,103.77
34.7425,103.68
34.7859,103.59
34.8293,103.5
34.8727,103.41
34.9161,103.32
34.9595,103.23
35.0029,103.14
35.0463,103.05
35.0898,102.96
35.1332,102.87
35.1767,102.78
35.2201,102.69
35.2636,102.6
35.3071,102.51
35.3506,102.42
35.3941,102.33
35.4376,102.24
35.4811,102.15
35.5246,102.06
35.5681,101.97
35.6116,101.88
35.6552,101.79
35.6987,101.7
35.7423,101.61
35.7859,101.52
35.8294,101.43
35.873,101.34
35.9166,101.25
35.9602,101.16
36.0038,101.07
36.0474,100.98
36.0911,100.89
36.1347,100.8
36.1783,100.71
36.222,100.62
36.2656,100.53
36.3093,100.44
36.353,100.35
36.3966,100.26
36.4403,100.17
36.484,100.08
36.5277,99.99
36.5714,99.9
36.6152,99.81
36.6589,99.72
36.7026,99.63
36.7464,99.54
36.7901,99.45
36.8339,99.36
36.8777,99.27
36.9215,99.18
36.9652,99.09
37.009,99
37.0528,98.91
37.0967,98.82
37.1405,98.73
37.1843,98.64
37.2281,98.55
37.272,98.46
37.3158,98.37
37.3597,98.28
37.4036,98.19
37.4474,98.1
37.4913,98.01
37.5352,97.92
37.5791,97.83
37.623,97.74
37.667,97.65
37.7109,97.56
37.7548,97.47
37.7988,97.38
37.8427,97.29
37.8867,97.2
37.9307,97.11
37.9746,97.02
38.0186,96.93
38.0626,96.84
38.1066,96.75
38.1506,96.66
38.1947,96.57
38.2387,96.48
38.2827,96.39
38.3268,96.3
38.3708,96.21
38.4149,96.12
38.459,96.03
38.5031,95.94
38.5471,95.85
38.5912,95.76
38.6353,95.67
38.6795,95.58
38.7236,95.49
38.7677,95.4
38.8119,95.31
38.856,95.22
38.9002,95.13
38.9443,95.04
38.9885,94.95
39.0327,94.86
39.0769,94.77
39.1211,94.68
39.1653,94.59
39.2095,94.5
39.2537,94.41
39.2979,94.32
39.3422,94.23
39.3864,94.14
39.4307,94.05
39.475,93.96
39.5192,93.87
39.5635,93.78
39.6078,93.69
39.6521,93.6
39.6964,93.51
39.7407,93.42
39.7851,93.33
39.8294,93.24
39.8738,93.15
39.9181,93.06
39.9625,92.97
40.0068,92.88
40.0512,92.79
40.0956,92.7
40.14,92.61
40.1844,92.52
40.2288,92.43
40.2732,92.34
40.3177,92.25
40.3621,92.16
40.4066,92.07
40.451,91.98
40.4955,91.89
40.5399,91.8
40.5844,91.71
40.6289,91.62
40.6734,91.53
40.7179,91.44
40.7624,91.35
40.807,91.26
40.8515,91.17
40.896,91.08
40.9406,90.99
40.9852,90.9
41.0297,90.81
41.0743,90.72
41.1189,90.63
41.1635,90.54
41.2081,90.45
41.2527,90.36
41.2973,90.27
41.342,90.18
41.3866,90.09
41.4312,90
41.4759,89.91
41.5206,89.82
41.5652,89.73
41.6099,89.64
41.6546,89.55
41.6993,89.46
41.744,89.37
41.7887,89.28
41.8335,89.19
41.8782,89.1
41.9229,89.01
41.9677,88.92
42.0124,88.83
42.0572,88.74
42.102,88.65
42.1468,88.56
42.1916,88.47
42.2364,88.38
42.2812,88.29
42.326,88.2
42.3708,88.11
42.4157,88.02
42.4605,87.93
42.5054,87.84
42.5503,87.75
42.5951,87.66
42.64,87.57
42.6849,87.48
42.7298,87.39
42.7747,87.3
42.8196,87.21
42.8646,87.12
42.9095,87.03
42.9544,86.94
42.9994,86.85
43.0444,86.76
43.0893,86.67
43.1343,86.58
43.1793,86.49
43.2243,86.4
43.2693,86.31
43.3143,86.22
43.3593,86.13
43.4044,86.04
43.4494,85.95
43.4945,85.86
43.5395,85.77
43.5846,85.68
43.6297,85.59
43.6748,85.5
43.7199,85.41
43.765,85.32
43.8101,85.23
43.8552,85.14
43.9003,85.05
43.9455,84.96
43.9906,84.87
44.0358,84.78
44.0809,84.69
44.1261,84.6
44.1713,84.51
44.2165,84.42
44.2617,84.33
44.3069,84.24
44.3521,84.15
44.3973,84.06
44.4426,83.97
44.4878,83.88
44.5331,83.79
44.5784,83.7
44.6236,83.61
44.6689,83.52
44.7142,83.43
44.7595,83.34
44.8048,83.25
44.8501,83.16
44.8955,83.07
44.9408,82.98
44.9861,82.89
45.0315,82.8
45.0768,82.71
45.1222,82.62
45.1676,82.53
45.213,82.44
45.2584,82.35
45.3038,82.26
45.3492,82.17
45.3946,82.08
45.4401,81.99
45.4855,81.9
45.531,81.81
45.5764,81.72
45.6219,81.63
45.6674,81.54
45.7129,81.45
45.7583,81.36
45.8039,81.27
45.8494,81.18
45.8949,81.09
45.9404,81
45.986,80.91
46.0315,80.82
46.0771,80.73
46.1226,80.64
46.1682,80.55
46.2138,80.46
46.2594,80.37
46.305,80.28
46.3506,80.19
46.3962,80.1
46.4419,80.01
46.4875,79.92
46.5332,79.83
46.5788,79.74
46.6245,79.65
46.6701,79.56
46.7158,79.47
46.7615,79.38
